Hip	Const-abbreviations	Const-names	ProperName	B-F-ID	F-ID	B-ID	RA	Dec	Distance	Mag	AbsMag	Spectrum	ColorIndex
73273	Lup	Lupus		Bet		β Lup	14.97554279	-43.13386699	160.5136437	2.68	-3.347559767	B2III	-0.184
67927	Boo	Boötes		8Eta	8 Boo	η Boo	13.91142116	18.39858742	11.34172621	2.68	2.406604204	G0IV	0.58
61585	Mus	Musca		Alp		α Mus	12.61974547	-69.13553358	93.72071228	2.69	-2.169177903	B2IV-V	-0.176
52727	Vel	Vela		Mu		μ Vel	10.77947836	-49.42012517	35.4861604	2.69	-0.0602950561	G5III SB	0.901
23015	Aur	Auriga		3Iot	3 Aur	ι Aur	4.94989339	33.16613537	156.9858713	2.69	-3.289302838	K3IIvar	1.49
85696	Sco	Scorpius		34Ups	34 Sco	υ Sco	17.512733	-37.29574016	158.9825119	2.7	-3.306746773	B2IV	-0.179
35264	Pup	Puppis		Pi		π Pup	7.28571226	-37.09748689	335.5704698	2.71	-4.91891868	K3Ib	1.616
89931	Sgr	Sagittarius		19Del	19 Sgr	δ Sgr	18.34989489	-29.82803914	93.72071228	2.72	-2.139177903	K3III	1.38
97278	Aql	Aquila	Tarazed	50Gam	50 Aql	γ Aql	19.77099171	10.61326869	141.2429379	2.72	-3.029833712	K3II	1.507
79593	Oph	Ophiuchus		1Del	1 Oph	δ Oph	16.23910173	-3.69397562	52.19206681	2.73	-0.8580224763	M1III	1.584
80331	Dra	Draco		14Eta	14 Dra	η Dra	16.39986301	61.51407536	26.89618074	2.73	0.5815469272	G8III	0.91
52419	Car	Carina		The		θ Car	10.71595186	-64.39447937	134.589502	2.74	-2.905055931	B0Vp	-0.22
61941	Vir	Virgo		29Gam	29 Vir	γ Vir	12.69444503	-1.44952231	11.83011948	2.74	2.375054345	F0V+...	0.368
65109	Cen	Centaurus		Iot		ι Cen	13.34335154	-36.71208109	17.97268152	2.75	1.476935607	A2V	0.068
72622	Lib	Libra		9Alp2	9 Lib	α2 Lib	14.84799369	-16.04161047	23.66863905	2.75	0.8791335664	A3IV	0.147
26241	Ori	Orion		44Iot	44 Ori	ι Ori	5.59055031	-5.90989984	406.504065	2.75	-5.295324465	O9III	-0.21
86742	Oph	Ophiuchus		60Bet	60 Oph	β Oph	17.72454914	4.56691684	25.13826043	2.76	0.7583238939	K2III	1.168
80816	Her	Hercules		27Bet	27 Her	β Her	16.50368379	21.4896485	45.31037608	2.78	-0.5009883342	G8III	0.947
84345	Her	Hercules	Rasalgethi	64Alp1	64 Her	α1 Her	17.24412845	14.39025314	117.2332943	2.78	-2.565254844	M5IIvar	1.164
23875	Eri	Eridanus		67Bet	67 Eri	β Eri	5.13084276	-5.08626282	27.24053391	2.78	0.6039219225	A3IIIvar	0.161
59747	Cru	Crux		Del		δ Cru	12.25243248	-58.74890179	111.6071429	2.79	-2.448459952	B2IV	-0.193
85670	Dra	Draco		23Bet	23 Dra	β Dra	17.5072158	52.30135901	110.864745	2.79	-2.433967312	G2II	0.954
76297	Lup	Lupus		Gam		γ Lup	15.58568343	-41.16669497	173.9130435	2.8	-3.401660777	B2IV	-0.216
25606	Lep	Lepus	Nihal	9Bet	9 Lep	β Lep	5.47075731	-20.75923214	48.80429478	2.81	-0.632290208	G5II	0.807
81693	Her	Hercules		40Zet	40 Her	ζ Her	16.68818808	31.60188695	10.79563856	2.81	2.64375832	F9IV	0.65
2021	Hyi	Hydrus		Bet		β Hyi	0.42755612	-77.25503511	7.474958888	2.82	3.451955958	G2IV	0.618
90496	Sgr	Sagittarius		22Lam	22 Sgr	λ Sgr	18.46618597	-25.42124732	23.69668246	2.82	0.9465622548	K1IIIb	1.025
81266	Sco	Scorpius		23Tau	23 Sco	τ Sco	16.59804428	-28.21596156	131.7523057	2.82	-2.778791121	B0V	-0.206
77952	TrA	Triangulum Australe		Bet		β TrA	15.91911334	-63.42974973	12.30920729	2.83	2.378849574	F2III	0.315
39757	Pup	Puppis		15Rho	15 Pup	ρ Pup	8.12575059	-24.30443677	19.23446817	2.83	1.409599087	F2mF5IIp	0.458
1067	Peg	Pegasus	Algenib	88Gam	88 Peg	γ Peg	0.22059721	15.18361593	102.145046	2.83	-2.216086541	B2IV	-0.19
85792	Ara	Ara		Alp		α Ara	17.53070044	-49.87598159	74.29420505	2.84	-1.514774701	B2Vne	-0.136
85258	Ara	Ara		Bet		β Ara	17.42166588	-55.52982397	184.8428835	2.84	-3.494013675	K3Ib-II	1.479
18246	Per	Perseus		44Zet	44 Per	ζ Per	3.90219957	31.88365776	301.2048193	2.84	-4.554309582	B1Ib	0.271
17702	Tau	Taurus	Alcyone	25Eta	25 Tau	η Tau	3.79140671	24.10524193	112.7395716	2.85	-2.410381901	B7III	-0.086
63608	Vir	Virgo	Vindemiatrix	47Eps	47 Vir	ε Vir	13.03632237	10.95910186	31.34796238	2.85	0.3689534153	G8IIIvar	0.934
107556	Cap	Capricornus		49Del	49 Cap	δ Cap	21.78396813	-16.12656595	11.82312603	2.85	2.486338404	A5mF2 (IV)	0.18
0	Gem	Gemini		66Alp	66 Gem	α Gem	7.57697783	31.89188279	15.80527896	2.85	1.855989172	A m	
9236	Hyi	Hydrus		Alp		α Hyi	1.97940884	-61.56992444	21.86270223	2.86	1.161480801	F0V	0.29
97165	Cyg	Cygnus		18Del	18 Cyg	δ Cyg	19.74956725	45.13069195	52.4383849	2.86	-0.7382465348	B9.5III	-0.002
110130	Tuc	Tucana		Alp		α Tuc	22.30838283	-60.25949486	60.90133983	2.87	-1.053134236	K3III	1.39
74946	TrA	Triangulum Australe		Gam		γ TrA	15.31519133	-68.67946723	56.02240896	2.87	-0.8718088978	A1V	0.014
30343	Gem	Gemini		13Mu	13 Gem	μ Gem	6.3826642	22.51385027	71.0732054	2.87	-1.388529513	M3IIIvar	1.621
13847	Eri	Eridanus		The1		θ1 Eri	2.97103212	-40.30473491	49.45598417	2.88	-0.5910942437	A4III+...	0.128
94141	Sgr	Sagittarius		41Pi	41 Sgr	π Sgr	19.1627316	-21.02352534	134.9527665	2.88	-2.77090896	F2II/III	0.377
36188	CMi	Canis Minor		3Bet	3 CMi	β CMi	7.45252008	8.28940893	52.19206681	2.89	-0.6980224763	B8Vvar	-0.097
78265	Sco	Scorpius		6Pi	6 Sco	π Sco	15.98086685	-26.1140428	140.8450704	2.89	-2.853708256	B1V + B2V	-0.18
63125	CVn	Canes Venatici		12Alp2	12 CVn	α2 CVn	12.9338447	38.31824617	33.78378378	2.89	0.2464585553	A0spe...	-0.115
80112	Sco	Scorpius		20Sig	20 Sco	σ Sco	16.35314514	-25.59275259	225.2252252	2.9	-3.863085149	B1III	0.299
106278	Aqr	Aquarius		22Bet	22 Aqr	β Aqr	21.52597796	-5.57115593	187.6172608	2.9	-3.466363955	G0Ib	0.828
18532	Per	Perseus		45Eps	45 Per	ε Per	3.96422809	40.01027315	165.0165017	2.9	-3.187636879	B0.5V	-0.199
14328	Per	Perseus		23Gam	23 Per	γ Per	3.07994173	53.50645031	78.6163522	2.91	-1.567564443	G8III+...	0.716
48002	Car	Carina		Ups		υ Car	9.78503822	-65.07201888	497.5124378	2.92	-5.564019713	A9	0.273
112158	Peg	Pegasus		44Eta	44 Peg	η Peg	22.71670238	30.22130866	65.87615283	2.93	-1.163641142	G2II-III..	0.852
32768	Pup	Puppis		Tau		τ Pup	6.83226023	-50.61439973	56.02240896	2.94	-0.8018088978	K0III...	1.207
60965	Crv	Corvus		7Del	7 Crv	δ Crv	12.4977731	-16.51509397	26.94691458	2.94	0.7874547717	B9.5V	-0.012
109074	Aqr	Aquarius		34Alp	34 Aqr	α Aqr	22.09639591	-0.31982656	232.5581395	2.95	-3.882657722	G2Ib	0.969
47908	Leo	Leo		17Eps	17 Leo	ε Leo	9.76419511	23.77427792	76.86395081	2.97	-1.458613517	G0II	0.808
18543	Eri	Eridanus		34Gam	34 Eri	γ Eri	3.96714724	-13.50824471	67.79661017	2.97	-1.186039898	M1IIIb Ca-1	1.588
26451	Tau	Taurus		123Zet	123 Tau	ζ Tau	5.62741229	21.14259299	127.8772379	2.97	-2.563966235	B4IIIp	-0.148
88635	Sgr	Sagittarius		10Gam2	10 Sgr	γ2 Sgr	18.09681239	-30.42365007	29.46375958	2.98	0.6335591899	K0III	0.981
87073	Sco	Scorpius		Iot1		ι1 Sco	17.79307809	-40.12698197	549.4505495	2.99	-5.70964306	F3Ia	0.509
93747	Aql	Aquila		17Zet	17 Aql	ζ Aql	19.09017012	13.86370983	25.52322614	2.99	0.9553221583	A0Vn	0.014
64962	Hya	Hydra		46Gam	46 Hya	γ Hya	13.31534816	-23.17141246	40.50222762	2.99	-0.0473945503	G8III	0.92
108085	Gru	Grus		Gam		γ Gru	21.8987928	-37.3648229	62.22775358	3	-0.9699206162	B8III	-0.084
82514	Sco	Scorpius		Mu 1		μ1 Sco	16.86451079	-38.04732717	251.8891688	3	-4.006047466	B1.5IV + B	-0.2
10064	Tri	Triangulum		4Bet	4 Tri	β Tri	2.15903358	34.98739204	38.1097561	3	0.0948191535	A5III	0.14
75097	UMi	Ursa Minor		13Gam	13 UMi	γ UMi	15.34548589	71.83397308	147.275405	3	-2.840651129	A3II-III	0.058
54539	UMa	Ursa Major		52Psi	52 UMa	ψ UMa	11.16107206	44.49855337	45.02476362	3	-0.2672572073	K1III	1.144
17358	Per	Perseus		39Del	39 Per	δ Per	3.71541169	47.7876533	161.8122977	3.01	-3.035057625	B5III SB	-0.125
30122	CMa	Canis Major		1Zet	1 CMa	ζ CMa	6.33855198	-30.06337656	103.0927835	3.02	-2.046141329	B2.5V	-0.16
59316	Crv	Corvus		2Eps	2 Crv	ε Crv	12.16875718	-22.61979211	93.02325581	3.02	-1.822957679	K2III	1.326
33977	CMa	Canis Major		24Omi2	24 CMa	ο2 CMa	7.05040932	-23.83330131	787.4015748	3.02	-6.460981395	B3Ia	-0.077
23416	Aur	Auriga		7Eps	7 Aur	ε Aur	5.032815	43.82331397	625	3.03	-5.949400087	F0Ia	0.537
62322	Mus	Musca		Bet		β Mus	12.77135267	-68.10809405	95.41984733	3.04	-1.858193587	B2V	-0.178
71075	Boo	Boötes		27Gam	27 Boo	γ Boo	14.53465494	38.30788348	26.1164795	3.04	0.9554268317	A7IIIvar	0.191
95947	Cyg	Cygnus		6Bet1	6 Cyg	β1 Cyg	19.51202368	27.9596948	118.2033097	3.05	-2.313148185	K3II+...	1.088
100345	Cap	Capricornus		9Bet	9 Cap	β Cap	20.35017956	-14.78140119	105.4852321	3.05	-2.065958313	A5:n	0.79
32246	Gem	Gemini		27Eps	27 Gem	ε Gem	6.73220272	25.13115531	277.0083102	3.06	-4.152463991	A3mA6-A9	1.377
50801	UMa	Ursa Major		34Mu	34 UMa	μ UMa	10.37216756	41.4994335	76.27765065	3.06	-1.351986542	M0III SB	1.603
94376	Dra	Draco		57Del	57 Dra	δ Dra	19.20920972	67.66131695	30.7314075	3.07	0.632087743	G9III	0.99
89642	Sgr	Sagittarius		Eta		η Sgr	18.29381366	-36.76128103	45.72473708	3.1	-0.2007560848	M2III	1.582
101772	Ind	Indus		Alp		α Ind	20.62610824	-47.29166239	31.04625893	3.11	0.6499536241	K0III	0.998
56561	Cen	Centaurus		Lam		λ Cen	11.59636896	-63.01982488	125.6281407	3.11	-2.385434661	B9II:	-0.044
52943	Hya	Hydra		Nu		ν Hya	10.82706446	-16.19413208	42.4808836	3.11	-0.0309677075	K0/K1III	1.232
43813	Hya	Hydra		16Zet	16 Hya	ζ Hya	8.92324579	5.9455277	46.21072089	3.11	-0.2137137178	G8III-IV	0.978
27628	Col	Columba		Bet		β Col	5.84932022	-35.76929225	26.35740643	3.12	1.015486633	K1.5III	1.146
83081	Ara	Ara		Zet		ζ Ara	16.97700854	-55.99005508	176.056338	3.12	-3.108258321	K5III	1.552
44127	UMa	Ursa Major		9Iot	9 UMa	ι UMa	8.98689965	48.04234956	14.63700234	3.12	2.292739288	A7IV	0.223
84379	Her	Hercules		65Del	65 Her	δ Her	17.25053449	24.83958739	24.06738869	3.12	1.212855141	A3IVv SB	0.08
